"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:62oNfnQqObaqARM0DTibAL","N.I.B.","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:2T6jeELx5BqH4GMLObBy10","Black Sabbath (2009 Remastered Version)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1970-02-13","https://i.scdn.co/image/ab67616d0000b2731311a92b0ca83a5154c5a5e7","1","4","364493","https://p.scdn.co/mp3-preview/87268a52252a1676991671848f3d3f396a4e2682?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBAJE7000079","spotify:user:hsuarezcellucci","2021-05-17T15:30:52Z"
"spotify:track:4n4W0yJsGYXzFwStMYMLxj","You're All I Need","spotify:artist:0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","spotify:album:0Tnve4bDxyiBCRaj03qO8z","Girls, Girls, Girls","spotify:artist:0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","1987","https://i.scdn.co/image/ab67616d0000b273a226e31b10f88c83e00e828a","1","9","275466","https://p.scdn.co/mp3-preview/f36c7494b489b44e03ad5db390fa4421d09c8a56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USBY29900197","spotify:user:hsuarezcellucci","2021-05-17T15:35:06Z"
"spotify:track:6i7IXg8j7ZngiEOgBYjkhw","Sweating Bullets - Remastered 2004","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:1w9opfGdFtR3ulNHxnnO1e","Countdown To Extinction (Expanded Edition - Remastered)","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1992-07-14","https://i.scdn.co/image/ab67616d0000b2737b178f928742be1492c6fba2","1","5","327040","https://p.scdn.co/mp3-preview/32e79c297bd29a6b0a9c28c32e61029ba028a806?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USCA20400622","spotify:user:hsuarezcellucci","2021-05-17T15:36:34Z"
"spotify:track:5LO0sJCkNMZYLYeGOvblLu","In My Darkest Hour - Remastered 2004","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:5f4vbRLrRmoDH0zpdQnyrE","So Far, So Good...So What! (Expanded Edition - Remastered)","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1988-01-26","https://i.scdn.co/image/ab67616d0000b273e949e0e6c9eac438a68f5b37","1","6","386600","https://p.scdn.co/mp3-preview/f37412c6cee41fc7040e3b241d70a9e4e74bf451?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USCA20400607","spotify:user:hsuarezcellucci","2021-05-17T15:37:07Z"
"spotify:track:0ReFWCnSnbwwYwBuPEqBYi","Got Me on the Line","spotify:artist:3tufWJzpCiAGleBt5TkmTn","Ratt","spotify:album:7CzsLoFBEMElxviJoApcAI","Invasion of Your Privacy","spotify:artist:3tufWJzpCiAGleBt5TkmTn","Ratt","1985","https://i.scdn.co/image/ab67616d0000b27371039cc45b8ec2b05b930192","1","8","185800","https://p.scdn.co/mp3-preview/9cb26d0e9da8000c23dab09c4d95a0ab29cd1727?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAT20901948","spotify:user:hsuarezcellucci","2021-05-17T15:41:09Z"
"spotify:track:6gZVQvQZOFpzIy3HblJ20F","Man in the Box","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","spotify:album:5LbHbwejgZXRZAgzVAjkhj","Facelift","spotify:artist:64tNsm6TnZe2zpcMVMOoHL","Alice In Chains","1990-08-01","https://i.scdn.co/image/ab67616d0000b2733cf83c82a8e976d7b51e2d00","1","2","285200","https://p.scdn.co/mp3-preview/d462c686765709d2124f0d555282ecd0325ee71b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USSM19000727","spotify:user:hsuarezcellucci","2021-05-17T15:41:42Z"
"spotify:track:6jtUOVRO4p09Z7E35ERRL7","Demon Fire","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:3bTNxJYk2bwdWBMtrjBxb0","POWER UP","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","2020-11-13","https://i.scdn.co/image/ab67616d0000b2736ee202215547101d947d4b9f","1","7","210361","https://p.scdn.co/mp3-preview/29a797a8ea096a8785bf7bfd8978f15d00616b0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM11914747","spotify:user:hsuarezcellucci","2021-05-17T15:42:09Z"
"spotify:track:5WwqdeavrQrbeAMDxGawse","Can't Fight This Feeling","spotify:artist:55vs7NT1KxcFjbMC4y202E","REO Speedwagon","spotify:album:35KafpmKh0nDLzBLV75MpR","Wheels Are Turnin'","spotify:artist:55vs7NT1KxcFjbMC4y202E","REO Speedwagon","1984-11-05","https://i.scdn.co/image/ab67616d0000b273b815265c56ecfa5136a4015d","1","6","294773","https://p.scdn.co/mp3-preview/47811ce4b58e8fb058e13bdfb21225aa357a5c9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM18400442","spotify:user:hsuarezcellucci","2021-05-17T15:42:23Z"
"spotify:track:2SiXAy7TuUkycRVbbWDEpo","You Shook Me All Night Long","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:6mUdeDZCsExyJLMdAfDuwh","Back In Black","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1980-07-25","https://i.scdn.co/image/ab67616d0000b273ff191d7fbdb5a13eaf84132b","1","7","210328","https://p.scdn.co/mp3-preview/f70ff70c98a8bee61b209dabc273e60936cde548?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","AUAP08000047","spotify:user:hsuarezcellucci","2021-05-17T15:45:04Z"
"spotify:track:1wfDvLRSQVFEWC7nfE6C4L","Poison girl","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","spotify:album:36tz5XLSdscEvXvzWQwSXv","Razorblade Romance","spotify:artist:74aLweE8FHHf4yN5TWv1GM","HIM","1999-11-15","https://i.scdn.co/image/ab67616d0000b273a8cfc41719dc2c2028e0aad5","1","2","231333","https://p.scdn.co/mp3-preview/4ab770b31d35fc73fb9e168f6056b1b4357e2026?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","FIBAR9900311","spotify:user:hsuarezcellucci","2021-05-17T15:46:04Z"
"spotify:track:7w6PJe5KBPyvuRYxFkPssC","No More Tears","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:6eh82ojicL8RSJF7GkYTh7","No More Tears (Expanded Edition)","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","1991-09-17","https://i.scdn.co/image/ab67616d0000b273509342e69eb341df70e5c2e3","1","5","444983","https://p.scdn.co/mp3-preview/1890f6ffb366d63ec782e804a41ff8541dc95584?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USSM19100025","spotify:user:hsuarezcellucci","2021-05-17T15:46:28Z"
"spotify:track:1HM7Vp84E4SMzdrZONg6bH","Wasted Years - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:0OEg65hPhgP7B0Dy9TqP2L","Somewhere in Time (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1986","https://i.scdn.co/image/ab67616d0000b27369059f3685b992f9ce22cd4c","1","2","309640","https://p.scdn.co/mp3-preview/600009a64b058317f1c13c3a018026059a50463b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBCHB1800046","spotify:user:hsuarezcellucci","2021-05-17T15:46:38Z"
"spotify:track:3HzWxmvpQU3QHQ59zw1X4V","Heaven and Hell - 2009 Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:0Dj2B19o99FcJii6aPvMTr","Heaven & Hell","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1980-04-25","https://i.scdn.co/image/ab67616d0000b2731714d5e8b43f9e63572d550d","1","4","417840","https://p.scdn.co/mp3-preview/da78379c54a945658a71d3e62ccebd42e8074b99?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","GBUM70900392","spotify:user:hsuarezcellucci","2021-05-17T15:49:30Z"
"spotify:track:2ov8L95QD25TLpZAZPYWXL","Mr. Crowley","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:4qUMByJ3Pk94BFnCmGaUPS","Blizzard Of Ozz (40th Anniversary Expanded Edition)","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","2020-09-18","https://i.scdn.co/image/ab67616d0000b2734936b5b7caeb7524e50fd8cb","1","6","302647","https://p.scdn.co/mp3-preview/05e49bf02d313d9a2417384fac13d61297bff470?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM11002849","spotify:user:hsuarezcellucci","2021-05-17T15:49:32Z"
"spotify:track:6DyywdbmTzlmXBzG9ym7Rt","Sober","spotify:artist:2yEwvVSSSUkcLeSTNyHKh8","TOOL","spotify:album:3Esn6LoXuWtLZNYq8FCzr0","Undertow","spotify:artist:2yEwvVSSSUkcLeSTNyHKh8","TOOL","1993-04-06","https://i.scdn.co/image/ab67616d0000b273fd1602df46ac56e2f5260ec0","1","3","306853","https://p.scdn.co/mp3-preview/63996220a9e6d64b842d3cd116763dff263ee691?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","USVR10000011","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:20:48Z"
"spotify:track:0pwObEOHolQZSldJ2q1wpy","Stinkfist","spotify:artist:2yEwvVSSSUkcLeSTNyHKh8","TOOL","spotify:album:6yWMN087PgSimbcVmHLEwG","Ænima","spotify:artist:2yEwvVSSSUkcLeSTNyHKh8","TOOL","1996-09-17","https://i.scdn.co/image/ab67616d0000b27347daa44983fa6079910ed295","1","1","311293","https://p.scdn.co/mp3-preview/43194b298c8353b9333feba72cce389ae042829c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USZE19600081","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:22:28Z"
"spotify:track:5kHkaBN8OEQlmXfQkACxSt","3 Libras","spotify:artist:4DFhHyjvGYa9wxdHUjtDkc","A Perfect Circle","spotify:album:0GeWd0yUKXHbCXVag1mJvO","Mer De Noms","spotify:artist:4DFhHyjvGYa9wxdHUjtDkc","A Perfect Circle","2000-01-01","https://i.scdn.co/image/ab67616d0000b2732d73b494efcb99356f8c7b28","1","6","219640","https://p.scdn.co/mp3-preview/e4441393ae62fa4cee10fb0ff4a38611a0119b69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","USVI20000049","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:23:23Z"
"spotify:track:44OUZyiPnJc4pOZw4J6pid","The Doomed","spotify:artist:4DFhHyjvGYa9wxdHUjtDkc","A Perfect Circle","spotify:album:3Jr1RhAyndBxtyi8rJs3Op","Eat The Elephant","spotify:artist:4DFhHyjvGYa9wxdHUjtDkc","A Perfect Circle","2018-04-20","https://i.scdn.co/image/ab67616d0000b273a81808a306009c2f1dba3258","1","4","281626","https://p.scdn.co/mp3-preview/8339c78cab43586c077ac750807164bc34cc5a46?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QMRSZ1702844","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:23:59Z"
"spotify:track:3sPpTsMNzlyJJx9LLJFT0e","TalkTalk","spotify:artist:4DFhHyjvGYa9wxdHUjtDkc","A Perfect Circle","spotify:album:3Jr1RhAyndBxtyi8rJs3Op","Eat The Elephant","spotify:artist:4DFhHyjvGYa9wxdHUjtDkc","A Perfect Circle","2018-04-20","https://i.scdn.co/image/ab67616d0000b273a81808a306009c2f1dba3258","1","6","248906","https://p.scdn.co/mp3-preview/73377ee3f0e64a9398ce48bf4a8ad21d1d824aac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QMRSZ1800105","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:24:55Z"
"spotify:track:5gnjaZqOaqE5GZKjby8KoT","Electric Crown","spotify:artist:28hJdGN1Awf7u3ifk2lVkg","Testament","spotify:album:6YXf0vbjFhURCPUewYhVWE","The Ritual","spotify:artist:28hJdGN1Awf7u3ifk2lVkg","Testament","1992-04-28","https://i.scdn.co/image/ab67616d0000b27380c91854d34b84773786f12d","1","2","330226","https://p.scdn.co/mp3-preview/bcf1037ca3bfb33b1cbb278c160b8fdddfd5304f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USAT20003030","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:25:54Z"
"spotify:track:3Ky8IzV8IVSwijtaTWB2SK","Seasons In The Abyss","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","spotify:album:49QJ9TAWNqZGbFUvadXPgT","Seasons In The Abyss","spotify:artist:1IQ2e1buppatiN1bxUVkrk","Slayer","1990-10-09","https://i.scdn.co/image/ab67616d0000b273c0c12d83c0488024b66c9739","1","10","397826","https://p.scdn.co/mp3-preview/bcc9c7394fa7ee5ca50785fda378930d84cf6eef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM19000330","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:31:06Z"
"spotify:track:6i4Qi1mJxXjqNIL9HfJhRs","Civil War","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:00eiw4KOJZ7eC3NBEpmH4C","Use Your Illusion II","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1991-09-18","https://i.scdn.co/image/ab67616d0000b27392d21aef6c0d288cc4c05973","1","1","462093","https://p.scdn.co/mp3-preview/cad8fe33309ede089e3ecedd4b9edef5930c3360?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USGF19142001","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:31:35Z"
"spotify:track:4vJr55lngvhSM8WIh9CjQc","Cemetery Gates","spotify:artist:14pVkFUHDL207LzLHtSA18","Pantera","spotify:album:5szY4sBOSD6IFjFN1RtWTe","Cowboys from Hell","spotify:artist:14pVkFUHDL207LzLHtSA18","Pantera","1990-07-20","https://i.scdn.co/image/ab67616d0000b2730ce52f4ba340a1e459e6a978","1","5","422933","https://p.scdn.co/mp3-preview/b47ef0a218a31a9e4b34c0b0098212c5e28075f7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USEE10170410","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:32:24Z"
"spotify:track:0bHYX16vAFaFhtEqKhCeqg","Darkness Within","spotify:artist:0lVlNsuGaOr9vMHCZIAKMt","Machine Head","spotify:album:79EwDnZoH0n7vIAXmYP1cz","Unto the Locust (Special Edition)","spotify:artist:0lVlNsuGaOr9vMHCZIAKMt","Machine Head","2011-09-21","https://i.scdn.co/image/ab67616d0000b2737628f0efee3b43bbe5399667","1","5","387840","https://p.scdn.co/mp3-preview/f5549b2a71de67a4c2f9b7b77e13fe941b971503?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","NLA321191504","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:33:34Z"
"spotify:track:6CCkq87g6MxHZ5uCYCqdk1","Too Bad","spotify:artist:356c8AN5YWKvz86B4Sb1yf","Rival Sons","spotify:album:2OsED4DmBABqdP9NwGUpAu","Feral Roots","spotify:artist:356c8AN5YWKvz86B4Sb1yf","Rival Sons","2019-01-25","https://i.scdn.co/image/ab67616d0000b2732eb94491a3d377d793156717","1","6","284786","https://p.scdn.co/mp3-preview/8de68cdc49f9693141add15c567c3e15976729d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USAT21811676","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:34:18Z"
"spotify:track:01qLRZjy5hnWDdqKuM6AJh","Pressure and Time","spotify:artist:356c8AN5YWKvz86B4Sb1yf","Rival Sons","spotify:album:7uVg7wY0NO9dtxGQOgxZgA","Pressure & Time","spotify:artist:356c8AN5YWKvz86B4Sb1yf","Rival Sons","2011-06-21","https://i.scdn.co/image/ab67616d0000b2731989b4727337562a3f36c78f","1","3","196773","https://p.scdn.co/mp3-preview/e4d4b8277cbfbee2779284639f108b9ecd702459?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","GBBPB1201408","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:35:54Z"
"spotify:track:5yckiSASyeQLPgpBZkXIbu","Perry Mason","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","spotify:album:5m8Fj0thHTE4CBGJTdF6s9","Ozzmosis (Expanded Edition)","spotify:artist:6ZLTlhejhndI4Rh53vYhrY","Ozzy Osbourne","1995-10-23","https://i.scdn.co/image/ab67616d0000b27320904d686b3d8d433834e079","1","1","353802","https://p.scdn.co/mp3-preview/d031d2459a0353774ea71108f4fb0a39ec545d69?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USSM19501359","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:35:59Z"
"spotify:track:58ZAYIQzuXcOaQ2JASbUow","The Devil You Know","spotify:artist:3JysSUOyfVs1UQ0UaESheP","Anthrax","spotify:album:1L19OH3VWoIcMhZuq70F1u","Worship Music","spotify:artist:3JysSUOyfVs1UQ0UaESheP","Anthrax","2013-03-22","https://i.scdn.co/image/ab67616d0000b273eb9ff759659f120715fd5a7f","1","3","286280","https://p.scdn.co/mp3-preview/3cf4f4f9375a8e1c5746d0909b8f1979bcb0f87e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","USME31100982","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:56:25Z"
"spotify:track:1jMaB19DiVR8OihLSuYFOt","Spoonman","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","spotify:album:4K8bxkPDa5HENw0TK7WxJh","Superunknown (20th Anniversary)","spotify:artist:5xUf6j4upBrXZPg6AI4MRK","Soundgarden","1994-03-09","https://i.scdn.co/image/ab67616d0000b2735124ed45a94033830b320500","1","8","246920","https://p.scdn.co/mp3-preview/d037b74dec634ce982dc9020925c44180102a067?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAM19400008","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T16:59:55Z"
"spotify:track:1Eolhana7nKHYpcYpdVcT5","Little Wing","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:3uFZf8rykoHo7XMIQVYW6r","Axis: Bold As Love","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1967-12-01","https://i.scdn.co/image/ab67616d0000b27319dcd95d28b63d10164327f2","1","6","145746","https://p.scdn.co/mp3-preview/ada32b9dfe77f71863b1d49284767ce5ad475652?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USQX90900757","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T17:05:20Z"
"spotify:track:6w8dBm5KlXxWejYrbGS1EJ","I Wanna Be Somebody","spotify:artist:3BVkDHWRvLJEyKdvhLbjsq","W.A.S.P.","spotify:album:25pbI5TFqt2tzGS4XSMnog","W.A.S.P.","spotify:artist:3BVkDHWRvLJEyKdvhLbjsq","W.A.S.P.","1984","https://i.scdn.co/image/ab67616d0000b273b1aa6ce113de70498eb295da","1","2","223533","https://p.scdn.co/mp3-preview/76eb9371b2c67869470bc671dbe04b76515932fd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","GBCQV8400008","spotify:user:rosygv","2021-05-17T17:08:53Z"
"spotify:track:5qQxqHhrMzDdEFOtcAYNk2","Digging the Grave","spotify:artist:6GbCJZrI318Ybm8mY36Of5","Faith No More","spotify:album:198GsVgwHgoas39b8TcPYp","King for a Day, Fool for a Lifetime","spotify:artist:6GbCJZrI318Ybm8mY36Of5","Faith No More","1995-04-25","https://i.scdn.co/image/ab67616d0000b2739f3275c4cce1a239d37a7024","1","9","183800","https://p.scdn.co/mp3-preview/1871eabdf374fb2692a423f4651d5f1e09a31e13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBANC9500009","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T17:09:10Z"
"spotify:track:1XTGyfJeMiZXrZ1W3NolcB","Know Your Enemy","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","spotify:album:4Io5vWtmV1rFj4yirKb4y4","Rage Against The Machine - XX (20th Anniversary Special Edition)","spotify:artist:2d0hyoQ5ynDBnkvAbJKORj","Rage Against The Machine","1992","https://i.scdn.co/image/ab67616d0000b27354ab617bc2d4974ab6ffbece","1","6","294506","https://p.scdn.co/mp3-preview/e3c3364bdb88f3763b778570eb4be5a32a7ab4a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","69","USSM11205437","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-17T17:09:26Z"
"spotify:track:4ie42LCUKcp68EnZOMw9PG","Wheels of Steel - 2009 Remastered Version","spotify:artist:71vVmHeNgCVSa5SVmfvscU","Saxon","spotify:album:6EGEGr4oY0PsV6yGBxeQ8J","Wheels of Steel (2009 Remastered Version)","spotify:artist:71vVmHeNgCVSa5SVmfvscU","Saxon","1980-01-01","https://i.scdn.co/image/ab67616d0000b2732910519edbe59770831f77ed","1","4","358698","https://p.scdn.co/mp3-preview/86f971b0810b8c2f0176c1a5eb2e3a8359b68da3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB01A0900049","spotify:user:rosygv","2021-05-17T17:09:35Z"
"spotify:track:2QpP8SyXrumYR5BlcdJgTV","Princess of the Night - 2009 Remaster","spotify:artist:71vVmHeNgCVSa5SVmfvscU","Saxon","spotify:album:0KtDv1SIDSdJWDpjHBLJad","Denim and Leather (2009 Remastered Version)","spotify:artist:71vVmHeNgCVSa5SVmfvscU","Saxon","1981","https://i.scdn.co/image/ab67616d0000b2730205578acfebb4c72c9e8ef7","1","1","242573","https://p.scdn.co/mp3-preview/ca6bdf311d2e21f971be287abe4463a478c802c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB01A0900192","spotify:user:rosygv","2021-05-17T17:09:39Z"
"spotify:track:5Okf7KBikV8we3uqCMFjiL","Doctor Doctor - 2007 Remaster","spotify:artist:2Omy3P5hFZym7FKum1JA1s","UFO","spotify:album:7rIrjqUmeFTjw9JH9MWekS","Phenomenon (2007 Remaster)","spotify:artist:2Omy3P5hFZym7FKum1JA1s","UFO","1974-01-01","https://i.scdn.co/image/ab67616d0000b2737dd63c9cad5acc0104ee9b78","1","3","252453","https://p.scdn.co/mp3-preview/5c72fc40a39f979a45606409457d3cf9866bcce3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAYK0700203","spotify:user:rosygv","2021-05-17T17:09:43Z"
"spotify:track:70wXUzmg3tk3Ci2Ixg1YwO","Powerslave - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:309KOMEivisMmBuzk09635","Powerslave (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1984","https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d","1","7","431520","https://p.scdn.co/mp3-preview/587cd64d7e6f58b00908cc1b6050ebafa2a93373?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBCHB1800043","spotify:user:rosygv","2021-05-17T17:10:32Z"
"spotify:track:4STDzTw4Z13mee7Ig4vi1n","Seventh Son of a Seventh Son - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:1rG6IgNdwE1IGFuIKuYosz","Seventh Son of a Seventh Son (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1988","https://i.scdn.co/image/ab67616d0000b2731d7e954fb2f8b98a4cea3eca","1","5","594080","https://p.scdn.co/mp3-preview/71907026bbeb163ad3836e2e74005cd5ddd0c926?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBCHB1800057","spotify:user:rosygv","2021-05-17T17:10:36Z"
"spotify:track:2SrVGpjv0mqCR6j9EZPSm2","2 Minutes to Midnight - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:309KOMEivisMmBuzk09635","Powerslave (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1984","https://i.scdn.co/image/ab67616d0000b2730335e5389b34f6acfb73a82d","1","2","363586","https://p.scdn.co/mp3-preview/b542c73a4babe3002f8fbe6922566162c4509856?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBCHB1800038","spotify:user:rosygv","2021-05-17T17:10:51Z"
"spotify:track:1NVvYEAv61lWHmptNEBUHf","The Clairvoyant - 2015 Remaster","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","spotify:album:1rG6IgNdwE1IGFuIKuYosz","Seventh Son of a Seventh Son (2015 Remaster)","spotify:artist:6mdiAmATAx73kdxrNrnlao","Iron Maiden","1988","https://i.scdn.co/image/ab67616d0000b2731d7e954fb2f8b98a4cea3eca","1","7","267293","https://p.scdn.co/mp3-preview/9518f2f76798d6705f441e6aab66e02c859bc016?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBCHB1800059","spotify:user:rosygv","2021-05-17T17:10:54Z"
"spotify:track:77Rn1FxBGeqDUXTD2QFeCb","A Tout Le Monde","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","spotify:album:5iBvQWRRazoyt7CrEPFBsW","Youthanasia","spotify:artist:1Yox196W7bzVNZI7RBaPnf","Megadeth","1994-11-01","https://i.scdn.co/image/ab67616d0000b2731d9c7b91334880fb1700dc00","1","4","267960","https://p.scdn.co/mp3-preview/45b221c5134d04cebb74565cac667417d9bea7b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","USCA29400004","spotify:user:rosygv","2021-05-17T17:12:59Z"
"spotify:track:2sUsyTWx6HeRxrnPpNL1gJ","El Caballo De Troya","spotify:artist:3854DTPVGm3wxqNeRMnKqn","Tierra Santa","spotify:album:3FDDeh9sZO0LomncCL9fEf","Tierras de Leyenda","spotify:artist:3854DTPVGm3wxqNeRMnKqn","Tierra Santa","2003-03-17","https://i.scdn.co/image/ab67616d0000b27329e31a1e286a41535c7bb93a","1","11","209013","https://p.scdn.co/mp3-preview/0afbbc25b4fcbe106c05a3951ecdddc1b3e63b88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","ES6880401007","spotify:user:rosygv","2021-05-17T17:16:43Z"
"spotify:track:1NURhO7dVP9msnwuY75tvd","El Santo Grial","spotify:artist:5ZNxiPcbKgaNcBrERMpqeu","Mägo de Oz","spotify:album:1Da87nj7hlkdRAh9Zf5jp7","La Leyenda De La Mancha","spotify:artist:5ZNxiPcbKgaNcBrERMpqeu","Mägo de Oz","1998","https://i.scdn.co/image/ab67616d0000b273336f616308938ffc4200fecd","1","2","310009","https://p.scdn.co/mp3-preview/76c3fd8247d9a21bcab73ac21f68d7616140de64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","ES6880300137","spotify:user:rosygv","2021-05-17T17:17:08Z"
