"URI de la canción","Nombre de la canción","URI(s) del artista","Nombre(s) del artista","URI del álbum","Nombre del álbum","URI(s) del artista del álbum","Nombre(s) del artista del álbum","Fecha de lanzamiento del álbum","URL de la imagen del álbum","Número de disco","Número de la canción","Duración de la canción (ms)","URL de vista previa de la canción","Explícito","Popularidad","ISRC","Añadido por","Añadido en"
"spotify:track:7rkB7gCYOG7ra7HSeAWvfw","En el Espejo","spotify:artist:3Y2UMfxP15qisezhYgjTKN","Sôber","spotify:album:0YJRGWmF0AkhStIlNaoeU4","Synthesis","spotify:artist:3Y2UMfxP15qisezhYgjTKN","Sôber","2001-01-01","https://i.scdn.co/image/ab67616d0000b273174c4c1f22f07e14db90c5e0","1","5","227466","https://p.scdn.co/mp3-preview/952f184233766fc227dbbe19cbeb1f589295227c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ES71G2049102","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-22T11:34:10Z"
"spotify:track:776AftMmFFAWUIEAb3lHhw","ZITTI E BUONI","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","spotify:album:7KF1Ain9mYYlg5M46g0i4A","Teatro d'ira - Vol. I","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","2021-03-19","https://i.scdn.co/image/ab67616d0000b2735aa05015cfa7bd2943c29b21","1","1","194786","https://p.scdn.co/mp3-preview/ea4a0a83d990ca24023ed7e067b66e45c8495a75?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","ITB002100112","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-22T23:01:18Z"
"spotify:track:4O0LQKVT6hGmVGNwizmydg","10 Years","spotify:artist:3Hb64DQZIhDCgyHKrzBXOL","Daði Freyr","spotify:album:2Zegz0LaKZgwrLo5UbEa2x","10 Years","spotify:artist:3Hb64DQZIhDCgyHKrzBXOL","Daði Freyr","2021-03-13","https://i.scdn.co/image/ab67616d0000b2739305dd1c01c870510509997b","1","1","166000","https://p.scdn.co/mp3-preview/9ad18d16afd4c212bd5f5fdc7b98e6a1bf49c6d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBKPL2144231","spotify:user:3bfs68sbrnraxpmmszhnypee8","2021-05-22T23:04:17Z"
"spotify:track:4pruGLEd2plhfOmusGTGdq","Saints of Los Angeles","spotify:artist:0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","spotify:album:1szPcdrUkYLmzFAtzt671u","Saints of Los Angeles","spotify:artist:0cc6vw3VN8YlIcvr1v7tBL","Mötley Crüe","2008-11-24","https://i.scdn.co/image/ab67616d0000b2733412a9d5522bb5b7f0c68a94","1","1","202146","https://p.scdn.co/mp3-preview/8db60164c7a05e21fabfcce683c5d26c6394ebba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDPK0824001","spotify:user:hsuarezcellucci","2021-05-22T09:01:53Z"
"spotify:track:17lu4tymfnhmcIDlzBbtAb","For Those About to Rock (We Salute You)","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","spotify:album:7DUvURQ0wfA1kgG8j99frR","For Those About to Rock (We Salute You)","spotify:artist:711MCceyCBcFnzjGY4Q7Un","AC/DC","1981-11-23","https://i.scdn.co/image/ab67616d0000b2734761f55747802ede7136639a","1","1","344263","https://p.scdn.co/mp3-preview/207def6a62e77efd738fe6b2ff55ed76a29c87c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","AUAP08100026","spotify:user:hsuarezcellucci","2021-05-22T09:37:17Z"
"spotify:track:68ZY22YJeDxvcpQCg6u6SX","Eyes Of A Panther","spotify:artist:3l02WF362j1oHOurzuseBv","Steel Panther","spotify:album:6RqKEPUHvfSB7jhMomUv67","Feel The Steel","spotify:artist:3l02WF362j1oHOurzuseBv","Steel Panther","2009-01-01","https://i.scdn.co/image/ab67616d0000b273dac920c0b399c4e10097fdb4","1","4","216973","https://p.scdn.co/mp3-preview/3c7b0250b2a53ae41c86f8c1ef4bf862f5872e9e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM70965167","spotify:user:hsuarezcellucci","2021-05-22T09:50:37Z"
"spotify:track:0S6LJ0NSDynIsCptVBZdfy","Death To All But Metal","spotify:artist:3l02WF362j1oHOurzuseBv","Steel Panther","spotify:album:6RqKEPUHvfSB7jhMomUv67","Feel The Steel","spotify:artist:3l02WF362j1oHOurzuseBv","Steel Panther","2009-01-01","https://i.scdn.co/image/ab67616d0000b273dac920c0b399c4e10097fdb4","1","1","149533","https://p.scdn.co/mp3-preview/0784037cd978bcd8b4ca76f4bfaab2a2b2b65478?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM70950965","spotify:user:hsuarezcellucci","2021-05-22T10:16:04Z"
"spotify:track:4DnEyHNO8MdhFYFrDq73BV","Mr. Brownstone","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","spotify:album:3I9Z1nDCL4E0cP62flcbI5","Appetite For Destruction","spotify:artist:3qm84nBOXUEQ2vnTfUTTFC","Guns N' Roses","1987-07-21","https://i.scdn.co/image/ab67616d0000b27368384dd85fd5e95831252f60","1","5","225706","https://p.scdn.co/mp3-preview/ddc4ef45e775027faf1bcdeea00c86df540d5fb1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","USGF18714805","spotify:user:hsuarezcellucci","2021-05-22T10:23:57Z"
"spotify:track:4qbiCq2xkNPyojuZFeNeqx","Jailbreak","spotify:artist:6biWAmrHyiMkX49LkycGqQ","Thin Lizzy","spotify:album:6Cf545T4jkaiyvMnTRPOB2","Jailbreak (Deluxe Edition)","spotify:artist:6biWAmrHyiMkX49LkycGqQ","Thin Lizzy","1976","https://i.scdn.co/image/ab67616d0000b273e8f69ab903901064b1f19249","1","1","240600","https://p.scdn.co/mp3-preview/94a17e036859bc03454660b2c99d1faf217b7007?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBF087600064","spotify:user:hsuarezcellucci","2021-05-22T10:30:50Z"
"spotify:track:2rVeiO8AI1ZDSv4wjS46OX","What It Takes","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","spotify:album:2WXQrFpRtf1FVSS70D5TVT","Pump","spotify:artist:7Ey4PD4MYsKc5I2dolUwbH","Aerosmith","1989-01-01","https://i.scdn.co/image/ab67616d0000b2737286808a6e05a3c35d100db6","1","10","388426","https://p.scdn.co/mp3-preview/72a148a9f7d45b6227db4d36eef093d0d2f1fd71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","USGF19925414","spotify:user:hsuarezcellucci","2021-05-22T14:13:40Z"
